"Rank","Company","HQ_Country","Revenue_FY2024","Therapeutic_Focus","Primary_Entry_Department","Tier_1_Roles","Tier_2_Roles","Likely_Budget_Owner","Estimated_Deal_Complexity","Strategic_Entry_Angle","Interest_Initiator","Scientific_Validator"
"1","Johnson & Johnson","USA","$57.1 billion (Innovative Medicine segment); $88.8 billion total company","Oncology, Immunology, Neuroscience, Cardiovascular & Metabolism, Pulmonary Hypertension, Infectious Diseases","OCMO / Office of the Chief Medical Officer","Chief Safety Officer / VP, Head of Global Medical Safety, Innovative Medicine; Global Head, Office of the Chief Medical Officer; VP, Global Regulatory Affairs (Therapeutic Area Lead)","Director, Global Epidemiology and Benefit-Risk Assessment; Senior Director, Global Development, Data Science & Digital Health; VP, Head of Asia Pacific Strategy Organization (or equivalent regional strategy lead)","Global Head, OCMO (for enterprise deployment) or VP-level GRA/Therapeutic Area Lead (for therapeutic area-specific deployment)","High","Recommended approach: Enter through Oncology safety signal management, positioning around regulatory-grade real-world evidence speed.","Director-level within OCMO's Benefit-Risk Assessment or Global Medical Safety team, or the Data Science & Digital Health function -- these groups already use ML-based safety analytics and would recognize the BRA platform's value","Chief Safety Officer and/or Director of Global Epidemiology and Benefit-Risk Assessment; they would evaluate scientific rigor, methodology alignment with ICH frameworks, and integration with existing rapid-cycle analytics"
"2","Merck & Co.","USA","$64.2 billion (FY2025: $65.0 billion)","Oncology (KEYTRUDA franchise), Cardiovascular/Pulmonary, Infectious Diseases (HIV, Vaccines), Immunology, Neuroscience, Animal Health","Pharmacovigilance / Drug Safety","EVP and President, Merck Research Laboratories; VP/SVP, Global Regulatory Affairs & Clinical Safety (GRACS); VP/SVP, Global Clinical Safety & Pharmacovigilance","Head of Data Science & AI, Clinical Development; Director/VP, Oncology Regulatory Strategy; Head of Real-World Evidence & Epidemiology","EVP/President of MRL for R&D-wide deployment, or VP-level GRACS lead for function-specific deployment","High","Recommended approach: Enter through Oncology B/R assessment at scale, positioning around the Keytruda diversification imperative.","Head of Data Science & AI within MRL, or GCS&PV leadership -- Merck's GPTeal culture means AI-forward leaders in clinical safety would be receptive to dynamic BRA capabilities","VP of GRACS (therapeutic area lead, likely Oncology & IVD) and GCS&PV leadership; they would assess scientific rigor, alignment with ICH E1/E2E frameworks, and integration with existing AI-generated CSR workflows"
"3","Pfizer","USA","$63.6 billion (FY2025 guidance: $61.0-$64.0 billion)","Oncology (including Seagen portfolio), Vaccines, Rare Disease, Inflammation & Immunology, Internal Medicine, Anti-Infectives","Pharmacovigilance / Drug Safety","Chief Scientific Officer and President, Research & Development; VP/SVP, Worldwide Safety; EVP, Chief Compliance, Quality and Risk Officer","VP, Head of Oncology Regulatory Strategy; Chief Strategy and Innovation Officer; Head of Digital/Data Science, Clinical Development","Chief Scientific Officer for R&D-wide deployment; VP-level Worldwide Safety for function-specific purchase; Chief Compliance, Quality and Risk Officer for enterprise risk management positioning","High","Recommended approach: Enter through Worldwide Safety's AI-enabled pharmacovigilance modernization, positioning around scalable B/R management for the expanding oncology portfolio.","Worldwide Safety leadership or digital/data science teams within clinical development -- Pfizer's long history of AI adoption in PV (since 2014) means these teams are sophisticated buyers who understand AI-enabled safety tools","VP, Worldwide Safety and/or oncology regulatory strategy leads; they would assess whether the BRA platform's probabilistic models and RWE integration meet the scientific rigor required for regulatory submissions"
"4","Roche","Switzerland","CHF 60.5 billion total (~$69B); Pharmaceuticals Division CHF 43.2 billion (~$49.2B); Diagnostics Division CHF 14.5 billion (~$16.5B). FY2025: CHF 61.5 billion total with Pharma at CHF 47.7 billion","Oncology (primary), Neuroscience, Immunology, Ophthalmology, Infectious Diseases, Cardiovascular/Renal/Metabolism, Hematology","Pharmacovigilance / Drug Safety","Head of Global Product Development and Chief Medical Officer; Head of Patient Safety / Global Drug Safety; Head of Global Regulatory Affairs","Head of pRED or gRED (Research and Early Development); Head of Digital Health / Real-World Data Analytics; Head of Companion Diagnostics Development","CMO (for Global Product Development deployment) or Head of Patient Safety (for safety function-specific deployment)","High","Recommended approach: Enter through the pharmacovigilance digital transformation initiative, positioning as a key enabler of the 50% safety efficiency target by 2026.","Head of Patient Safety or the digital transformation team driving the 50% safety efficiency target -- this team is actively evaluating AI/ML/LLM tools and has a clear mandate and timeline (2026)","CMO's office and/or Global Regulatory Affairs leadership; they would assess the platform's alignment with Roche's regulatory harmonization advocacy and dynamic assessment vision"
"5","AbbVie","USA","$56.3 billion total net revenues; Growth Platform net revenues of $47.3 billion (+18.6%)","Immunology (Skyrizi, Rinvoq, Humira legacy), Oncology (ADCs, bispecifics, molecular glue degraders), Neuroscience (Parkinson's, Alzheimer's, psychiatry, migraine), Aesthetics (Botox), Eye Care","Data Science & AI","EVP, Research & Development and Chief Scientific Officer; VP/SVP, Head of Pharmacovigilance and Patient Safety; Director/VP, Office of Risk Management","VP/Director, Benefit-Risk Management (within PPS); Head of ARCH Platform / AI & Data Convergence; VP, Therapeutic Development (Oncology or Neuroscience)","CSO (Dr. Thakkar) for R&D-wide deployment; Head of PPS for function-specific deployment. Given Dr. Thakkar's regulatory affairs background, she would be personally receptive to platforms that strengthen regulatory submissions.","High","Recommended approach: Enter through the Office of Risk Management, positioning as the ""industry-leading digital tool for B/R quantification"" that AbbVie's own mandate describes.","Office of Risk Management or Benefit-Risk Management team within PPS -- these functions have an explicit mandate to adopt digital tools and AI for B/R assessment, making them the most natural first contact","Head of PPS and therapeutic area development leads (particularly oncology and neuroscience); they would evaluate whether the platform's methodology aligns with AbbVie's structured B/R assessment standards and supports the complex safety profiles of new modalities"
"6","AstraZeneca","UK","$54.1 billion (FY2025: $58.7 billion, +8%); Oncology 44% of product revenue ($25.4B), CVRM 22%, R&I 15%, Rare Disease 16%","Oncology (lung, breast, hematology, GI/GU), Cardiovascular/Renal/Metabolism (CVRM), Respiratory & Immunology (R&I), Rare Disease (Alexion portfolio), Vaccines & Immune Therapies","Pharmacovigilance / Drug Safety","Chief Medical Officer; Head of Global Regulatory Affairs, Patient Safety, Quality Assurance (GRAPSQA); VP, Global Patient Safety (Oncology or CVRM)","VP/Chief Data Officer (CDO); EVP, Oncology R&D; Head of Evinova / Digital Health","CMO (for enterprise deployment); GRAPSQA Head (for integrated regulatory/safety/quality deployment); Oncology R&D EVP (for oncology-specific deployment)","High","Recommended approach: Enter through Oncology Patient Safety, positioning around the unique B/R complexity of ADC and I/O combination portfolios.","VP, Global Patient Safety (Oncology) or the CDO's digital health team -- the therapy area-aligned PV structure means oncology safety teams are dealing with the most complex B/R challenges (ADCs, I/O combinations), and the federated AI governance model encourages function-specific AI adoption","CMO and/or GRAPSQA Head (who co-chair the Executive Safety Board); they would assess scientific rigor and alignment with AstraZeneca's safety governance model"
"7","Novartis","Switzerland","$50.3 billion (Q1 2025: $13.23 billion, +11.9% YoY); FY2025 achieved high single-digit growth with 40% core margin","Cardiovascular/Renal/Metabolic (CRM), Immunology, Neuroscience, Oncology -- four core therapeutic areas as a ""pure-play"" innovative medicines company","Pharmacovigilance / Drug Safety","President, Development and Chief Medical Officer; Head of Patient Safety and Pharmacovigilance; VP/SVP, Global Regulatory Affairs","Head of Data & Digital, Global Drug Development; Head of Surveillance (DSUR/PBRER); Chief Strategy & Growth Officer","CMO (for Development-wide deployment); Chief Strategy & Growth Officer (if positioned as a portfolio optimization tool); CEO (for enterprise AI initiatives)","High","Recommended approach: Enter through the Surveillance/PBRER function, positioning around continuous B/R monitoring that transforms periodic reporting into dynamic assessment.","Head of Data & Digital within Development, or Head of Surveillance -- both functions are positioned to recognize the value of dynamic B/R assessment (the former through digital innovation mandate, the latter through direct PBRER generation responsibility)","CMO and Head of Patient Safety; they would assess alignment with Novartis's B/R evaluation methodology, integration with the IDS platform, and compatibility with the risk-based ICSR approach Novartis has published on"
"8","Sanofi","France","$47.9 billion (EUR equivalent); Q3 2025: continued sales and earnings progress","Immunology (Dupixent franchise, amlitelimab, duvakitug), Rare Disease (hemophilia, Pompe, Gaucher, ITP), Vaccines, Oncology (selective), Neurology (selective re-entry via TREM2 agonist)","Pharmacovigilance / Drug Safety","Head of Global Pharmacovigilance (GPV); Head of R&D / Chief Scientific Officer; Head of Regulatory Affairs","Head of Digital Accelerator (R&D); Head of Specialty Care (Commercial); Responsible AI Working Committee Lead / RAISE Framework Owner","Head of R&D/CSO for R&D-wide deployment; Head of GPV for safety-specific deployment. The EUR 10B from the Opella separation provides substantial balance sheet capacity for strategic investments.","High","Recommended approach: Enter through GPV's ARTEMIS modernization initiative, positioning as the B/R analytical layer that transforms automated AE processing into actionable benefit-risk intelligence.","Head of GPV or the R&D Digital Accelerator team -- GPV's Project ARTEMIS demonstrates appetite for PV technology transformation, and the Digital Accelerator has a mandate to find and deploy AI tools across R&D","GPV leadership and RA leadership jointly; the transversal governance model means both safety and regulatory perspectives are evaluated together. The OpenAI/Formation Bio partnership team may also evaluate AI capabilities."
"9","Bristol-Myers Squibb","USA","$48.3 billion (FY2025 guidance raised to $47.5-$48.0B non-GAAP; Growth Portfolio expected to comprise 50%+ of total sales in 2025 at +18% growth)","Oncology (I/O, cell therapy, ADCs, protein degradation), Hematology (anticoagulation, CAR-T, CELMoD), Immunology (TYK2 inhibition, B/T cell targeting), Cardiovascular, Neuroscience","Data Science & AI","EVP, Chief Medical Officer and Head of Development; VP/SVP, Head of Patient Safety / Global Pharmacovigilance; EVP, Chief Digital and Technology Officer","President, Cell Therapy Organization; Head of Protein Degradation Platform; Head of AI Center of Excellence / Data Sciences","CDTO (for technology platform investment) or CMO (for development function deployment). The $40B five-year investment commitment provides budget capacity.","High","Recommended approach: Enter through cell therapy B/R management, positioning around the unique safety monitoring requirements of CAR-T and next-generation cell therapies.","Head of Patient Safety or the CDTO's AI Center of Excellence team -- BMS's ""Predict First"" approach creates cultural receptivity to predictive B/R tools, and the Workbench platform precedent demonstrates rapid adoption of AI clinical tools","CMO (Massacesi brings multi-company B/R governance experience from AstraZeneca, Novartis, Pfizer) and Head of Patient Safety; they would evaluate whether the BRA platform's methodology aligns with BMS's multi-modality safety governance needs"
"10","Eli Lilly","USA","$45.0 billion (FY2025: tirzepatide franchise alone generated $36.5B; explosive growth driven by Mounjaro/Zepbound)","Metabolic/Obesity (GLP-1 franchise: Mounjaro, Zepbound), Diabetes, Oncology (radiopharmaceuticals, breast cancer, hematology), Neuroscience (Alzheimer's, pain, neurodegeneration), Immunology","Data Science & AI","EVP, Chief Scientific Officer and President, Lilly Research Laboratories; VP/SVP, Global Patient Safety; Chief AI Officer","EVP, Chief Information and Digital Officer; Sr. Director, GMQO (Regulatory and Safety); Head of Metabolic/Obesity Development","Chief AI Officer (for AI platform investment); CSO (for R&D deployment); CEO (for enterprise strategic investment). Lilly's explosive revenue growth provides substantial budget capacity.","High","Recommended approach: Enter through the GLP-1 franchise safety scaling challenge, positioning around population-scale B/R monitoring for the most prescribed new drug class in decades.","Chief AI Officer or GPS leadership -- Lilly's AI-forward culture (first Chief AI Officer in pharma, NVIDIA supercomputer, TuneLab) creates natural receptivity to AI-powered tools; GPS leadership would recognize B/R assessment as an AI application gap","CSO (Skovronsky) and Head of GPS; they would evaluate scientific methodology, particularly for metabolic/obesity B/R assessment at population scale and neuroscience long-term monitoring"
